#Pin Out file generated by Lattice Diamond Version 3.11.3
#Generated at Tue Mar 16 21:58:26 2021
#DEVICE=LCMXO2-7000HC
#PACKAGE=TQFP144
Index, Pin/Ball Function, Type, Bank, Dual Function, Differential, Pin Number, DQS, I/O Grouping
1, NC_POR, , , -, , -, -, +, 
2, PL2A, IO, 5, -, True_OF_PL2B, -, -, +, 
3, GND, , , -, , -, -, -, 
4, PL2B, IO, 5, -, Comp_OF_PL2A, -, -, -, 
5, PL2C, IO, 5, -, True_OF_PL2D, -, -, -, 
6, VCCIO5, , 5, -, , -, -, -, 
7, PL2D, IO, 5, -, Comp_OF_PL2C, -, -, -, 
8, PL3A, IO, 5, L_GPLLT_FB, True_OF_PL3B, 1, -, -, 
9, GND, , , -, , -, -, +, 
10, PL3B, IO, 5, L_GPLLC_FB, Comp_OF_PL3A, 2, -, +, 
11, PL3C, IO, 5, -, True_OF_PL3D, -, -, +, 
12, VCC, , , -, , -, -, +, 
13, PL3D, IO, 5, -, Comp_OF_PL3C, -, -, +, 
14, PL4A, IO, 5, L_GPLLT_IN, True_OF_PL4B, 3, -, +, 
15, NC_VCCIO5, , , -, , -, -, +, 
16, PL4B, IO, 5, L_GPLLC_IN, Comp_OF_PL4A, 4, -, +, 
17, PL4C, IO, 5, -, True_OF_PL4D, -, -, +, 
18, VCCIO5, , 5, -, , -, -, +, 
19, PL4D, IO, 5, -, Comp_OF_PL4C, -, -, +, 
20, PL5A, IO, 5, -, True_OF_PL5B, -, -, +, 
21, NC_SPARE1, , , -, , -, -, +, 
22, PL5B, IO, 5, -, Comp_OF_PL5A, -, -, +, 
23, PL5C, IO, 5, -, True_OF_PL5D, -, -, +, 
24, GND, , , -, , -, -, -, 
25, PL5D, IO, 5, -, Comp_OF_PL5C, -, -, -, 
26, PL6A, IO, 5, PCLKT5_0, True_OF_PL6B, 5, -, -, 
27, VCCIO5, , 5, -, , 7, -, -, 
28, PL6B, IO, 5, PCLKC5_0, Comp_OF_PL6A, 6, -, -, 
29, PL6C, IO, 5, -, True_OF_PL6D, -, -, -, 
30, GND, , , -, , 8, -, +, 
31, PL6D, IO, 5, -, Comp_OF_PL6C, -, -, +, 
32, PL7A, IO, 5, -, True_OF_PL7B, -, -, +, 
33, GND, , , -, , -, -, -, 
34, PL7B, IO, 5, -, Comp_OF_PL7A, -, -, -, 
35, PL7C, IO, 5, -, True_OF_PL7D, -, -, -, 
36, VCCIO5, , 5, -, , -, -, -, 
37, PL7D, IO, 5, -, Comp_OF_PL7C, -, -, -, 
38, PL8A, IO, 5, -, True_OF_PL8B, 9, -, -, 
39, GND, , , -, , -, -, +, 
40, PL8B, IO, 5, -, Comp_OF_PL8A, 10, -, +, 
41, PL8C, IO, 5, -, True_OF_PL8D, -, -, +, 
42, VCC, , , -, , -, -, +, 
43, PL8D, IO, 5, -, Comp_OF_PL8C, -, -, +, 
44, PL9A, IO, 5, -, True_OF_PL9B, 11, -, +, 
45, VCC, , , -, , -, -, +, 
46, PL9B, IO, 5, -, Comp_OF_PL9A, 12, -, +, 
47, PL9C, IO, 5, -, True_OF_PL9D, -, -, +, 
48, VCCIO5, , 5, -, , -, -, +, 
49, PL9D, IO, 5, -, Comp_OF_PL9C, -, -, +, 
50, PL10A, IO, 4, -, True_OF_PL10B, 13, -, -, 
51, VCCIO4, , 4, -, , -, -, -, 
52, PL10B, IO, 4, -, Comp_OF_PL10A, 14, -, -, 
53, PL10C, IO, 4, -, True_OF_PL10D, -, -, -, 
54, GND, , , -, , -, -, +, 
55, PL10D, IO, 4, -, Comp_OF_PL10C, -, -, +, 
56, PL11A, IO, 4, -, True_OF_PL11B, 15, -, +, 
57, VCC, , , -, , -, -, +, 
58, NC_VCCIO4, , , -, , -, -, +, 
59, PL11C, IO, 4, -, True_OF_PL11D, -, -, +, 
60, VCCIO4, , 4, -, , 16, -, +, 
61, PL11B, IO, 4, -, Comp_OF_PL11A, 17, -, +, 
62, PL11D, IO, 4, -, Comp_OF_PL11C, -, -, +, 
63, GND, , , -, , 18, -, -, 
64, PL12A, IO, 4, PCLKT4_0, True_OF_PL12B, 19, -, -, 
65, PL12B, IO, 4, PCLKC4_0, Comp_OF_PL12A, 20, -, -, 
66, PL12C, IO, 4, -, True_OF_PL12D, -, -, -, 
67, NC_GND, , , -, , -, -, -, 
68, PL12D, IO, 4, -, Comp_OF_PL12C, -, -, -, 
69, PL15A, IO, 4, -, True_OF_PL15B, 21, -, -, 
70, VCCIO4, , 4, -, , -, -, -, 
71, PL15B, IO, 4, -, Comp_OF_PL15A, 22, -, -, 
72, PL15C, IO, 4, -, True_OF_PL15D, -, -, -, 
73, VCC, , , -, , -, -, -, 
74, PL15D, IO, 4, -, Comp_OF_PL15C, -, -, -, 
75, PL16A, IO, 4, -, True_OF_PL16B, -, -, -, 
76, NC_VCC, , , -, , -, -, -, 
77, PL16B, IO, 4, -, Comp_OF_PL16A, -, -, -, 
78, PL16C, IO, 4, -, True_OF_PL16D, -, -, -, 
79, GND, , , -, , -, -, +, 
80, PL16D, IO, 4, -, Comp_OF_PL16C, -, -, +, 
81, PL17A, IO, 4, -, True_OF_PL17B, 23, -, +, 
82, GND, , , -, , -, -, -, 
83, PL17B, IO, 4, -, Comp_OF_PL17A, 24, -, -, 
84, PL17C, IO, 4, -, True_OF_PL17D, -, -, -, 
85, VCCIO4, , 4, -, , -, -, -, 
86, PL17D, IO, 4, -, Comp_OF_PL17C, -, -, -, 
87, PL18A, IO, 3, -, True_OF_PL18B, -, -, +, 
88, VCCIO3, , 3, -, , -, -, +, 
89, PL18B, IO, 3, -, Comp_OF_PL18A, -, -, +, 
90, PL18C, IO, 3, -, True_OF_PL18D, -, -, +, 
91, GND, , , -, , -, -, -, 
92, PL18D, IO, 3, -, Comp_OF_PL18C, -, -, -, 
93, PL19A, IO, 3, -, True_OF_PL19B, 25, -, -, 
94, VCC, , , -, , -, -, -, 
95, PL19B, IO, 3, -, Comp_OF_PL19A, 26, -, -, 
96, PL19C, IO, 3, -, True_OF_PL19D, -, -, -, 
97, GND, , , -, , -, -, +, 
98, PL19D, IO, 3, -, Comp_OF_PL19C, -, -, +, 
99, PL21A, IO, 3, -, True_OF_PL21B, -, -, +, 
100, VCCIO3, , 3, -, , -, -, +, 
101, PL21B, IO, 3, -, Comp_OF_PL21A, -, -, +, 
102, PL21C, IO, 3, -, True_OF_PL21D, -, -, +, 
103, VCC, , , -, , -, -, +, 
104, PL21D, IO, 3, -, Comp_OF_PL21C, -, -, +, 
105, PL22A, IO, 3, PCLKT3_0, True_OF_PL22B, 27, -, +, 
106, VCC, , , -, , -, -, +, 
107, PL22B, IO, 3, PCLKC3_0, Comp_OF_PL22A, 28, -, +, 
108, PL22C, IO, 3, -, True_OF_PL22D, -, -, +, 
109, GND, , , -, , -, -, -, 
110, PL22D, IO, 3, -, Comp_OF_PL22C, -, -, -, 
111, PL23A, IO, 3, -, True_OF_PL23B, -, -, -, 
112, GND, , , -, , 29, -, +, 
113, PL23B, IO, 3, -, Comp_OF_PL23A, -, -, +, 
114, PL23C, IO, 3, -, True_OF_PL23D, -, -, +, 
115, VCCIO3, , 3, -, , 30, -, +, 
116, PL23D, IO, 3, -, Comp_OF_PL23C, 31, -, +, 
117, PL24A, IO, 3, -, True_OF_PL24B, 32, -, +, 
118, VCC, , , -, , -, -, +, 
119, PL24B, IO, 3, -, Comp_OF_PL24A, 33, -, +, 
120, PL24C, IO, 3, -, True_OF_PL24D, -, -, +, 
121, GND, , , -, , -, -, -, 
122, PL24D, IO, 3, -, Comp_OF_PL24C, -, -, -, 
123, PL25A, IO, 3, -, True_OF_PL25B, 34, -, -, 
124, VCCIO3, , 3, -, , -, -, -, 
125, PL25B, IO, 3, -, Comp_OF_PL25A, 35, -, -, 
126, PL25C, IO, 3, -, True_OF_PL25D, -, -, -, 
127, GND, , , -, , -, -, +, 
128, PL25D, IO, 3, -, Comp_OF_PL25C, -, -, +, 
129, VCC, , , -, , 36, -, +, 
130, NC_VCCIO3, , , -, , -, -, +, 
131, VCCIO2, , 2, -, , 37, -, -, 
132, PB4A, IO, 2, -, True_OF_PB4B, 38, -, -, 
133, GND, , , -, , -, -, +, 
134, PB4B, IO, 2, -, Comp_OF_PB4A, 39, -, +, 
135, PB4C, IO, 2, -, True_OF_PB4D, -, -, +, 
136, VCCIO2, , 2, -, , -, -, +, 
137, PB4D, IO, 2, -, Comp_OF_PB4C, -, -, +, 
138, NC_PB6A, , , -, , -, -, +, 
139, PB6A, IO, 2, CSSPIN, True_OF_PB6B, 40, -, +, 
140, GND, , , -, , -, -, -, 
141, PB6B, IO, 2, -, Comp_OF_PB6A, 41, -, -, 
142, PB6C, IO, 2, -, True_OF_PB6D, -, -, -, 
143, VCC, , , -, , -, -, -, 
144, PB6D, IO, 2, -, Comp_OF_PB6C, -, -, -, 
145, PB7C, IO, 2, -, True_OF_PB7D, -, -, -, 
146, VCC, , , -, , -, -, -, 
147, PB7D, IO, 2, -, Comp_OF_PB7C, -, -, -, 
148, PB7A, IO, 2, -, True_OF_PB7B, -, -, -, 
149, VCCIO2, , 2, -, , -, -, -, 
150, PB7B, IO, 2, -, Comp_OF_PB7A, -, -, -, 
151, PB9A, IO, 2, -, True_OF_PB9B, 42, -, -, 
152, GND, , , -, , -, -, +, 
153, PB9B, IO, 2, -, Comp_OF_PB9A, 43, -, +, 
154, PB9C, IO, 2, -, True_OF_PB9D, -, -, +, 
155, GND, , , -, , -, -, -, 
156, PB9D, IO, 2, -, Comp_OF_PB9C, -, -, -, 
157, PB10C, IO, 2, -, True_OF_PB10D, -, -, -, 
158, VCCIO2, , 2, -, , -, -, -, 
159, PB10D, IO, 2, -, Comp_OF_PB10C, -, -, -, 
160, PB10A, IO, 2, -, True_OF_PB10B, -, -, -, 
161, VCCIO2, , 2, -, , -, -, -, 
162, PB10B, IO, 2, -, Comp_OF_PB10A, -, -, -, 
163, NC_PB12A, , , -, , -, -, -, 
164, PB12A, IO, 2, MCLK/CCLK, True_OF_PB12B, 44, -, -, 
165, GND, , , -, , -, -, +, 
166, PB12B, IO, 2, SO/SPISO, Comp_OF_PB12A, 45, -, +, 
167, PB12C, IO, 2, -, True_OF_PB12D, -, -, +, 
168, NC_PB12B, , , -, , -, -, +, 
169, GND, , , -, , 46, -, -, 
170, PB12D, IO, 2, -, Comp_OF_PB12C, -, -, -, 
171, PB13A, IO, 2, -, True_OF_PB13B, 47, -, -, 
172, VCC, , , -, , -, -, -, 
173, PB13B, IO, 2, -, Comp_OF_PB13A, 48, -, -, 
174, PB13C, IO, 2, -, True_OF_PB13D, -, -, -, 
175, VCCIO2, , 2, -, , -, -, -, 
176, PB13D, IO, 2, -, Comp_OF_PB13C, -, -, -, 
177, PB15C, IO, 2, -, True_OF_PB15D, -, -, -, 
178, VCCIO2, , 2, -, , -, -, -, 
179, PB15D, IO, 2, -, Comp_OF_PB15C, -, -, -, 
180, PB15A, IO, 2, -, True_OF_PB15B, -, -, -, 
181, GND, , , -, , -, -, +, 
182, PB15B, IO, 2, -, Comp_OF_PB15A, -, -, +, 
183, NC_PB16A, , , -, , -, -, +, 
184, PB16A, IO, 2, PCLKT2_0, True_OF_PB16B, 49, -, +, 
185, GND, , , -, , -, -, -, 
186, PB16B, IO, 2, PCLKC2_0, Comp_OF_PB16A, 50, -, -, 
187, PB16C, IO, 2, -, True_OF_PB16D, -, -, -, 
188, VCCIO2, , 2, -, , 51, -, -, 
189, PB16D, IO, 2, -, Comp_OF_PB16C, -, -, -, 
190, PB18A, IO, 2, -, True_OF_PB18B, 52, -, -, 
191, GND, , , -, , 53, -, +, 
192, NC_VCC, , , -, , -, -, +, 
193, PB18B, IO, 2, -, Comp_OF_PB18A, 54, -, +, 
194, PB18C, IO, 2, -, True_OF_PB18D, -, -, +, 
195, VCC, , , -, , -, -, +, 
196, PB18D, IO, 2, -, Comp_OF_PB18C, -, -, +, 
197, PB21C, IO, 2, -, True_OF_PB21D, -, -, +, 
198, GND, , , -, , -, -, -, 
199, PB21D, IO, 2, -, Comp_OF_PB21C, -, -, -, 
200, PB21A, IO, 2, -, True_OF_PB21B, -, -, -, 
201, VCCIO2, , 2, -, , -, -, -, 
202, PB21B, IO, 2, -, Comp_OF_PB21A, -, -, -, 
203, NC_PB23A, , , -, , -, -, -, 
204, PB23A, IO, 2, PCLKT2_1, True_OF_PB23B, 55, -, -, 
205, VCCIO2, , 2, -, , -, -, -, 
206, PB23B, IO, 2, PCLKC2_1, Comp_OF_PB23A, 56, -, -, 
207, PB23C, IO, 2, -, True_OF_PB23D, -, -, -, 
208, VCC, , , -, , -, -, -, 
209, PB23D, IO, 2, -, Comp_OF_PB23C, -, -, -, 
210, PB26A, IO, 2, -, True_OF_PB26B, 57, -, -, 
211, VCC, , , -, , -, -, -, 
212, PB26B, IO, 2, -, Comp_OF_PB26A, 58, -, -, 
213, PB26C, IO, 2, -, True_OF_PB26D, -, -, -, 
214, NC_GND, , , -, , -, -, -, 
215, GND, , , -, , -, -, +, 
216, PB26D, IO, 2, -, Comp_OF_PB26C, -, -, +, 
217, PB28C, IO, 2, -, True_OF_PB28D, -, -, +, 
218, VCCIO2, , 2, -, , -, -, +, 
219, PB28D, IO, 2, -, Comp_OF_PB28C, -, -, +, 
220, PB28A, IO, 2, -, True_OF_PB28B, -, -, +, 
221, NC_VCCIO2, , , -, , -, -, +, 
222, VCCIO2, , 2, -, , -, -, +, 
223, PB28B, IO, 2, -, Comp_OF_PB28A, -, -, +, 
224, PB29A, IO, 2, -, True_OF_PB29B, 59, -, +, 
225, VCC, , , -, , -, -, +, 
226, PB29B, IO, 2, -, Comp_OF_PB29A, 60, -, +, 
227, PB29C, IO, 2, -, True_OF_PB29D, -, -, +, 
228, GND, , , -, , -, -, -, 
229, PB29D, IO, 2, -, Comp_OF_PB29C, -, -, -, 
230, PB31A, IO, 2, -, True_OF_PB31B, 61, -, -, 
231, VCCIO2, , 2, -, , -, -, -, 
232, PB31B, IO, 2, -, Comp_OF_PB31A, 62, -, -, 
233, PB31C, IO, 2, -, True_OF_PB31D, -, -, -, 
234, GND, , , -, , -, -, +, 
235, PB31D, IO, 2, -, Comp_OF_PB31C, 63, -, +, 
236, PB32A, IO, 2, -, True_OF_PB32B, -, -, +, 
237, GND, , , -, , 64, -, -, 
238, PB32B, IO, 2, -, Comp_OF_PB32A, -, -, -, 
239, PB32C, IO, 2, -, True_OF_PB32D, -, -, -, 
240, GND, , , -, , -, -, +, 
241, PB32D, IO, 2, -, Comp_OF_PB32C, -, -, +, 
242, PB34C, IO, 2, -, True_OF_PB34D, -, -, +, 
243, VCCIO2, , 2, -, , -, -, +, 
244, PB34D, IO, 2, -, Comp_OF_PB34C, -, -, +, 
245, PB34A, IO, 2, -, True_OF_PB34B, -, -, +, 
246, VCCIO2, , 2, -, , -, -, +, 
247, PB34B, IO, 2, -, Comp_OF_PB34A, -, -, +, 
